Time	Goal	In	Out
6.8906e-05	100	1	0.99
0.000361823	100	1	0.99
0.000550522	100	2	0.98
0.000736043	100	0	1
0.00092021	100	3	0.97
0.00110396	100	7	0.93
0.00128854	100	4	0.96
0.00147229	100	5	0.95
0.00165615	100	6	0.94
0.00184016	100	7	0.93
0.00202302	100	8	0.92
0.00220547	100	8	0.92
0.00238933	100	10	0.9
0.00257204	100	9	0.91
0.00275407	100	10	0.9
0.00293881	100	11	0.89
0.0031249	100	12	0.88
0.00331188	100	12	0.88
0.00349792	100	13	0.87
0.00368469	100	14	0.86
0.00386709	100	15	0.85
0.00404912	100	15	0.85
0.00423631	100	16	0.84
0.00442574	100	15	0.85
0.00468376	100	17	0.83
0.00487694	100	18	0.82
0.00506444	100	18	0.82
0.00525298	100	19	0.81
0.00544058	100	20	0.8
0.00562829	100	20	0.8
0.00581043	100	21	0.79
0.00599314	100	22	0.78
0.00617585	100	22	0.78
0.00635856	100	23	0.77
0.00654277	100	24	0.76
0.00672632	100	24	0.76
0.00691043	100	25	0.75
0.00709418	100	25	0.75
0.00727601	100	26	0.74
0.0074596	100	26	0.74
0.00764184	100	27	0.73
0.00782377	100	27	0.73
0.00800575	100	28	0.72
0.00818861	100	28	0.72
0.00837106	100	29	0.71
0.0085534	100	29	0.71
0.0087359	100	30	0.7
0.0089184	100	30	0.7
0.00910142	100	31	0.69
0.00928346	100	31	0.69
0.00946538	100	33	0.67
0.00964721	100	32	0.68
0.00983085	100	33	0.67
0.0100141	100	33	0.67
0.0101953	100	33	0.67
0.0103775	100	35	0.65
0.0105583	100	34	0.66
0.0107403	100	35	0.65
0.0109216	100	35	0.65
0.0111035	100	36	0.64
0.0112849	100	36	0.64
0.0114674	100	37	0.63
0.0116499	100	37	0.63
0.0118314	100	37	0.63
0.0120133	100	37	0.63
0.0121953	100	38	0.62
0.012378	100	40	0.6
0.0125607	100	39	0.61
0.0127432	100	39	0.61
0.0129247	100	41	0.59
0.0131076	100	40	0.6
0.0132895	100	40	0.6
0.0134708	100	40	0.6
0.0136532	100	41	0.59
0.013835	100	41	0.59
0.0140184	100	42	0.58
0.0141998	100	42	0.58
0.0143819	100	43	0.57
0.0145956	100	44	0.56
0.0147875	100	43	0.57
0.01497	100	46	0.54
0.0151527	100	44	0.56
0.0153335	100	45	0.55
0.0155168	100	44	0.56
0.0157	100	45	0.55
0.0158813	100	45	0.55
0.0160628	100	45	0.55
0.016245	100	46	0.54
0.0164271	100	46	0.54
0.0166088	100	46	0.54
0.0167917	100	46	0.54
0.0169739	100	47	0.53
0.0171557	100	47	0.53
0.0173386	100	47	0.53
0.0175195	100	48	0.52
0.0177011	100	48	0.52
0.017883	100	48	0.52
0.0180644	100	48	0.52
0.0182463	100	49	0.51
0.0184293	100	49	0.51
0.0186108	100	49	0.51
0.0187926	100	49	0.51
0.0189755	100	49	0.51
0.0191555	100	50	0.5
0.0193369	100	50	0.5
0.0195198	100	50	0.5
0.019702	100	50	0.5
0.0198829	100	51	0.49
0.0200644	100	52	0.48
0.020246	100	51	0.49
0.0204278	100	51	0.49
0.0206099	100	51	0.49
0.0207918	100	52	0.48
0.020973	100	52	0.48
0.0211555	100	52	0.48
0.0213371	100	52	0.48
0.0215191	100	53	0.47
0.0217012	100	53	0.47
0.0218825	100	53	0.47
0.0220645	100	53	0.47
0.0222455	100	53	0.47
0.0224269	100	54	0.46
0.022609	100	54	0.46
0.0227903	100	54	0.46
0.0229731	100	54	0.46
0.0231548	100	55	0.45
0.0233366	100	55	0.45
0.0235178	100	55	0.45
0.0237005	100	55	0.45
0.0238836	100	55	0.45
0.0240664	100	55	0.45
0.0242492	100	55	0.45
0.0244314	100	57	0.43
0.0246359	100	60	0.4
0.0248258	100	56	0.44
0.0250074	100	57	0.43
0.0251898	100	56	0.44
0.0253721	100	56	0.44
0.0255543	100	56	0.44
0.0257358	100	56	0.44
0.0259178	100	57	0.43
0.0261003	100	57	0.43
0.0262817	100	57	0.43
0.0264636	100	57	0.43
0.0266435	100	57	0.43
0.0268247	100	57	0.43
0.0270069	100	57	0.43
0.027189	100	58	0.42
0.0273718	100	58	0.42
0.0275542	100	58	0.42
0.0277359	100	58	0.42
0.0279174	100	58	0.42
0.0281003	100	58	0.42
0.028281	100	58	0.42
0.0284626	100	59	0.41
0.0286446	100	59	0.41
0.0288261	100	59	0.41
0.0290078	100	59	0.41
0.0291905	100	59	0.41
0.0293721	100	58	0.42
0.0295529	100	59	0.41
0.0297356	100	61	0.39
0.0299178	100	60	0.4
0.0300996	100	60	0.4
0.0302824	100	59	0.41
0.0304646	100	60	0.4
0.030647	100	60	0.4
0.0308283	100	60	0.4
0.0310102	100	60	0.4
0.0311916	100	61	0.39
0.0313744	100	60	0.4
0.0315563	100	61	0.39
0.0317388	100	60	0.4
0.0319192	100	59	0.41
0.0321002	100	61	0.39
0.0322829	100	61	0.39
0.0324636	100	61	0.39
0.0326454	100	61	0.39
0.0328279	100	61	0.39
0.0330087	100	61	0.39
0.0331912	100	61	0.39
0.0333732	100	61	0.39
0.0335548	100	61	0.39
0.0337362	100	62	0.38
0.0339182	100	62	0.38
0.0340986	100	62	0.38
0.0343357	100	62	0.38
0.0345193	100	59	0.41
0.0347233	100	61	0.39
0.0349119	100	59	0.41
0.0350949	100	62	0.38
0.035277	100	62	0.38
0.0354599	100	63	0.37
0.0356419	100	62	0.38
0.0358237	100	62	0.38
0.0360061	100	63	0.37
0.0361878	100	63	0.37
0.0363706	100	63	0.37
0.036553	100	63	0.37
0.036734	100	63	0.37
0.0369157	100	63	0.37
0.037098	100	63	0.37
0.0372794	100	63	0.37
0.0374604	100	63	0.37
0.0376429	100	63	0.37
0.0378251	100	63	0.37
0.0380074	100	63	0.37
0.0381907	100	63	0.37
0.0383728	100	64	0.36
0.0385554	100	64	0.36
0.0387381	100	63	0.37
0.0389197	100	63	0.37
0.0391022	100	63	0.37
0.039285	100	64	0.36
0.0394657	100	64	0.36
0.0396472	100	61	0.39
0.039829	100	63	0.37
0.0400098	100	64	0.36
0.0401908	100	64	0.36
0.0403723	100	64	0.36
0.0405535	100	64	0.36
0.040735	100	64	0.36
0.0409169	100	64	0.36
0.0410986	100	62	0.38
0.0412805	100	64	0.36
0.0414624	100	65	0.35
0.0416427	100	64	0.36
0.0418242	100	64	0.36
0.0420062	100	65	0.35
0.0421883	100	64	0.36
0.0423694	100	65	0.35
0.0425507	100	65	0.35
0.0427313	100	65	0.35
0.0429125	100	65	0.35
0.0430952	100	65	0.35
0.0432766	100	65	0.35
0.0434575	100	65	0.35
0.0436393	100	65	0.35
0.0438207	100	65	0.35
0.0440039	100	65	0.35
0.0441857	100	65	0.35
0.0443688	100	64	0.36
0.044551	100	65	0.35
0.0447644	100	65	0.35
0.0449467	100	65	0.35
0.0451286	100	66	0.34
0.0453109	100	65	0.35
0.0454928	100	65	0.35
