Time	Goal	In	Out
7.9635e-05	500	1	50.4
0.000545366	500	1	50.4
0.000856461	500	2	50.3
0.00114922	500	3	50.2
0.00144703	500	3	50.2
0.00173511	500	4	50.1
0.00201995	500	4	50.1
0.00230266	500	5	50
0.00258433	500	5	50
0.00286636	500	6	49.9
0.00321298	500	7	49.8
0.0035797	500	7	49.8
0.00402496	500	8	49.7
0.0043634	500	9	49.6
0.00467986	500	10	49.5
0.00510215	500	10	49.5
0.00540377	500	11	49.4
0.00571746	500	11	49.4
0.00602002	500	13	49.2
0.0063358	500	13	49.2
0.00664075	500	14	49.1
0.00692424	500	14	49.1
0.00720711	500	15	49
0.00748768	500	16	48.9
0.0077719	500	17	48.8
0.00805372	500	16	48.9
0.00833747	500	17	48.8
0.0087095	500	19	48.6
0.00899461	500	19	48.6
0.00927956	500	20	48.5
0.00956117	500	20	48.5
0.00984092	500	21	48.4
0.0101262	500	22	48.3
0.0104121	500	22	48.3
0.0106943	500	22	48.3
0.010975	500	23	48.2
0.0112593	500	24	48.1
0.0115437	500	24	48.1
0.011827	500	25	48
0.012108	500	25	48
0.0123912	500	26	47.9
0.0126731	500	27	47.8
0.0129556	500	27	47.8
0.0132375	500	28	47.7
0.0135224	500	29	47.6
0.0138047	500	29	47.6
0.0140845	500	30	47.5
0.0143872	500	31	47.4
0.0146923	500	32	47.3
0.0149774	500	32	47.3
0.0152611	500	32	47.3
0.0155436	500	33	47.2
0.0158267	500	34	47.1
0.0161104	500	34	47.1
0.0163944	500	35	47
0.016676	500	36	46.9
0.0169582	500	36	46.9
0.0172376	500	37	46.8
0.0175197	500	39	46.6
0.0178036	500	38	46.7
0.0180851	500	39	46.6
0.0183698	500	39	46.6
0.0187107	500	40	46.5
0.0189955	500	41	46.4
0.0192796	500	41	46.4
0.019562	500	42	46.3
0.0198465	500	43	46.2
0.0201293	500	42	46.3
0.0204129	500	44	46.1
0.0206973	500	44	46.1
0.0209806	500	46	45.9
0.0212628	500	46	45.9
0.0215466	500	47	45.8
0.0218285	500	47	45.8
0.0221122	500	48	45.7
0.0224272	500	48	45.7
0.0227138	500	49	45.6
0.0229948	500	50	45.5
0.0232764	500	50	45.5
0.0235603	500	51	45.4
0.0238421	500	51	45.4
0.024126	500	52	45.3
0.024408	500	53	45.2
0.0246914	500	54	45.1
0.0249729	500	54	45.1
0.0252558	500	54	45.1
0.0255385	500	55	45
0.0258223	500	55	45
0.0261032	500	57	44.8
0.0263884	500	57	44.8
0.0266724	500	57	44.8
0.0269563	500	58	44.7
0.0272389	500	59	44.6
0.0275228	500	60	44.5
0.0278053	500	60	44.5
0.0280858	500	61	44.4
0.0283667	500	62	44.3
0.0288068	500	63	44.2
0.0291728	500	64	44.1
0.02946	500	64	44.1
0.0297435	500	65	44
0.0300251	500	65	44
0.0303251	500	66	43.9
0.0306283	500	67	43.8
0.030912	500	67	43.8
0.0311944	500	68	43.7
0.0314746	500	68	43.7
0.0317573	500	69	43.6
0.0320404	500	70	43.5
0.0323235	500	70	43.5
0.0326078	500	71	43.4
0.0328924	500	71	43.4
0.0331773	500	72	43.3
0.0334609	500	73	43.2
0.0337442	500	73	43.2
0.0340282	500	74	43.1
0.0343114	500	75	43
0.0345905	500	75	43
0.0348713	500	76	42.9
0.0351526	500	76	42.9
0.0354361	500	77	42.8
0.0357175	500	77	42.8
0.0360003	500	78	42.7
0.0362825	500	79	42.6
0.0365657	500	79	42.6
0.0368472	500	80	42.5
0.0371301	500	81	42.4
0.0374143	500	81	42.4
0.0376959	500	82	42.3
0.0379785	500	83	42.2
0.0382656	500	83	42.2
0.0386165	500	84	42.1
0.0389088	500	84	42.1
0.0391919	500	85	42
0.0394728	500	86	41.9
0.0397554	500	86	41.9
0.0400361	500	87	41.8
0.0403175	500	87	41.8
0.0406014	500	88	41.7
0.0408828	500	89	41.6
0.0411625	500	89	41.6
0.0414454	500	90	41.5
0.0417273	500	90	41.5
0.0420081	500	91	41.4
0.0422911	500	92	41.3
0.0425737	500	92	41.3
0.0428571	500	93	41.2
0.0431384	500	93	41.2
0.0434284	500	94	41.1
0.0437184	500	95	41
0.0440035	500	95	41
0.0442837	500	96	40.9
0.0445723	500	96	40.9
0.0448631	500	97	40.8
0.0451551	500	98	40.7
0.0454556	500	98	40.7
0.045755	500	99	40.6
0.0460441	500	99	40.6
0.046369	500	100	40.5
0.0466796	500	101	40.4
0.0469647	500	103	40.2
0.0472473	500	102	40.3
0.0475297	500	103	40.2
0.0478139	500	103	40.2
0.0480969	500	104	40.1
0.0484436	500	105	40
0.0487389	500	105	40
0.0490225	500	106	39.9
0.0493067	500	107	39.8
0.0495882	500	107	39.8
0.0498735	500	108	39.7
0.0501557	500	108	39.7
0.0504383	500	107	39.8
0.0507202	500	110	39.5
0.0510027	500	110	39.5
0.0512846	500	111	39.4
0.0515664	500	111	39.4
0.0518469	500	112	39.3
0.0521309	500	112	39.3
0.0524137	500	113	39.2
0.0526947	500	114	39.1
0.0529778	500	114	39.1
0.0532608	500	115	39
0.0535418	500	115	39
0.0538223	500	116	38.9
0.0541068	500	116	38.9
0.0544871	500	117	38.8
0.0547723	500	118	38.7
0.0550554	500	119	38.6
0.0553402	500	119	38.6
0.0556239	500	120	38.5
0.0559036	500	120	38.5
0.0561869	500	120	38.5
0.0564688	500	121	38.4
0.0567538	500	122	38.3
0.0570361	500	122	38.3
0.0573198	500	123	38.2
0.0576027	500	123	38.2
0.0578845	500	124	38.1
0.0581676	500	125	38
0.0584909	500	125	38
0.0587821	500	125	38
0.0590676	500	126	37.9
0.0593541	500	127	37.8
0.0596412	500	128	37.7
0.059926	500	128	37.7
0.0602091	500	129	37.6
0.060496	500	129	37.6
0.0607799	500	130	37.5
0.061064	500	131	37.4
0.061348	500	131	37.4
0.0616372	500	132	37.3
0.0619223	500	132	37.3
0.0622058	500	133	37.2
0.0625303	500	134	37.1
0.0628174	500	134	37.1
0.0631018	500	134	37.1
0.0633838	500	135	37
0.0636702	500	137	36.8
0.0639554	500	136	36.9
0.0642392	500	137	36.8
0.0645235	500	137	36.8
0.0648118	500	138	36.7
0.0650956	500	140	36.5
0.0653777	500	140	36.5
0.0656605	500	140	36.5
0.0659464	500	140	36.5
0.066229	500	141	36.4
0.0665129	500	142	36.3
0.0667956	500	142	36.3
0.0670797	500	142	36.3
0.0673632	500	143	36.2
0.0676448	500	143	36.2
0.0679314	500	144	36.1
0.0683068	500	145	36
0.0688017	500	146	35.9
0.0701957	500	149	35.6
0.0708713	500	150	35.5
0.0714331	500	151	35.4
0.0720526	500	152	35.3
0.0725463	500	153	35.2
0.0730526	500	156	34.9
0.0734244	500	158	34.7
0.0737154	500	156	34.9
0.0739999	500	156	34.9
0.0742832	500	157	34.8
0.0745649	500	155	35
0.0748465	500	158	34.7
0.0751293	500	159	34.6
0.0754151	500	159	34.6
0.0757001	500	159	34.6
0.0759827	500	160	34.5
0.0762652	500	161	34.4
0.0765508	500	161	34.4
0.0768343	500	162	34.3
0.0771605	500	163	34.2
0.0775309	500	163	34.2
0.0778187	500	163	34.2
0.0781022	500	164	34.1
0.0784702	500	165	34
0.0787658	500	165	34
0.0790534	500	166	33.9
0.079341	500	167	33.8
0.0796296	500	167	33.8
0.0799159	500	168	33.7
0.0801999	500	168	33.7
0.0804838	500	169	33.6
0.0807709	500	169	33.6
0.0810561	500	170	33.5
0.0813411	500	170	33.5
0.0816256	500	171	33.4
0.0819124	500	172	33.3
0.0821959	500	172	33.3
0.0824795	500	172	33.3
0.0827649	500	173	33.2
0.0830495	500	174	33.1
0.0833323	500	174	33.1
0.0836157	500	175	33
0.0839018	500	175	33
0.0841847	500	176	32.9
0.084471	500	176	32.9
0.0847579	500	177	32.8
0.0850443	500	177	32.8
0.0853279	500	178	32.7
0.0856118	500	178	32.7
0.0858965	500	179	32.6
0.0861798	500	180	32.5
0.0865001	500	180	32.5
0.0867846	500	181	32.4
0.0870709	500	181	32.4
0.0873582	500	181	32.4
0.0876425	500	182	32.3
0.0879296	500	183	32.2
0.0882142	500	184	32.1
0.0885466	500	184	32.1
0.0888415	500	184	32.1
0.0891243	500	185	32
0.089408	500	186	31.9
0.0896937	500	187	31.8
0.089976	500	185	32
0.0902564	500	188	31.7
0.09054	500	188	31.7
0.0908235	500	188	31.7
0.0911055	500	189	31.6
0.0913893	500	189	31.6
0.0916737	500	190	31.5
