Time	Goal	In	Out
1.02787	500	2	4.98
1.02937	500	26	4.74
1.03058	500	53	4.47
1.0318	500	77	4.23
1.03301	500	100	4
1.03423	500	120	3.8
1.03544	500	140	3.6
1.03665	500	155	3.45
1.03786	500	172	3.28
1.03924	500	188	3.12
1.04046	500	201	2.99
1.04169	500	212	2.88
1.04291	500	223	2.77
1.04413	500	233	2.67
1.04534	500	241	2.59
1.04655	500	250	2.5
1.04775	500	256	2.44
1.04897	500	263	2.37
1.05018	500	270	2.3
1.05139	500	275	2.25
1.0526	500	279	2.21
1.05382	500	286	2.14
1.05503	500	291	2.09
1.05624	500	294	2.06
1.05745	500	298	2.02
1.05866	500	301	1.99
1.05987	500	304	1.96
1.06108	500	307	1.93
1.06229	500	309	1.91
1.06359	500	312	1.88
1.06481	500	314	1.86
1.06602	500	315	1.85
1.06723	500	318	1.82
1.06844	500	320	1.8
1.06965	500	321	1.79
1.07086	500	320	1.8
1.07207	500	324	1.76
1.07328	500	325	1.75
1.0745	500	326	1.74
1.07571	500	327	1.73
1.07692	500	330	1.7
1.07813	500	329	1.71
1.07934	500	330	1.7
1.08055	500	331	1.69
1.08177	500	331	1.69
1.08299	500	332	1.68
1.0842	500	332	1.68
1.08542	500	333	1.67
1.08662	500	333	1.67
1.08783	500	333	1.67
1.08904	500	336	1.64
1.09025	500	337	1.63
1.09146	500	334	1.66
1.09268	500	335	1.65
1.09389	500	335	1.65
1.0951	500	335	1.65
1.09631	500	335	1.65
1.09752	500	336	1.64
1.09873	500	336	1.64
1.09994	500	336	1.64
1.10115	500	337	1.63
1.10236	500	337	1.63
1.10361	500	337	1.63
1.10483	500	337	1.63
1.10604	500	337	1.63
1.10725	500	335	1.65
1.10846	500	337	1.63
1.10967	500	338	1.62
1.11088	500	338	1.62
1.11209	500	338	1.62
1.1133	500	338	1.62
1.11452	500	338	1.62
1.11573	500	338	1.62
1.11693	500	338	1.62
1.11814	500	338	1.62
1.11935	500	338	1.62
1.12056	500	339	1.61
1.12178	500	338	1.62
1.123	500	338	1.62
1.12422	500	336	1.64
1.12543	500	338	1.62
1.12663	500	338	1.62
1.12787	500	339	1.61
1.12908	500	339	1.61
1.13029	500	342	1.58
1.1315	500	338	1.62
1.13271	500	338	1.62
1.13393	500	339	1.61
1.13514	500	338	1.62
1.13635	500	338	1.62
1.13757	500	338	1.62
1.13878	500	338	1.62
1.13999	500	338	1.62
1.1412	500	339	1.61
1.14244	500	337	1.63
1.14366	500	339	1.61
1.14487	500	339	1.61
1.14608	500	339	1.61
1.14729	500	338	1.62
1.1485	500	339	1.61
1.14971	500	339	1.61
1.15091	500	339	1.61
1.15212	500	338	1.62
1.15333	500	339	1.61
1.15455	500	339	1.61
1.15576	500	339	1.61
1.15697	500	337	1.63
1.15818	500	339	1.61
1.15939	500	339	1.61
1.16061	500	337	1.63
1.16182	500	339	1.61
1.16304	500	339	1.61
1.16425	500	339	1.61
1.16546	500	339	1.61
1.16667	500	338	1.62
1.16788	500	339	1.61
1.16909	500	339	1.61
1.1703	500	333	1.67
1.17151	500	339	1.61
1.17272	500	339	1.61
1.17394	500	339	1.61
1.17515	500	338	1.62
1.17636	500	339	1.61
1.17758	500	340	1.6
1.17879	500	337	1.63
1.18	500	341	1.59
1.18121	500	339	1.61
1.18246	500	339	1.61
1.18368	500	339	1.61
1.18489	500	339	1.61
1.1861	500	339	1.61
1.18731	500	339	1.61
1.18852	500	339	1.61
1.18973	500	339	1.61
1.19094	500	339	1.61
1.19215	500	339	1.61
1.19336	500	339	1.61
1.19457	500	339	1.61
1.19578	500	339	1.61
1.19699	500	337	1.63
1.1982	500	339	1.61
1.19941	500	339	1.61
1.20063	500	339	1.61
1.20184	500	339	1.61
1.20306	500	339	1.61
1.20427	500	339	1.61
1.20548	500	339	1.61
1.20669	500	338	1.62
1.2079	500	339	1.61
1.20911	500	339	1.61
1.21032	500	339	1.61
1.21153	500	339	1.61
1.21274	500	339	1.61
1.21396	500	338	1.62
1.21517	500	342	1.58
1.21638	500	339	1.61
1.2176	500	338	1.62
1.21881	500	337	1.63
1.22002	500	339	1.61
1.22123	500	339	1.61
1.22245	500	339	1.61
1.22366	500	339	1.61
1.22487	500	339	1.61
1.22608	500	339	1.61
1.22731	500	338	1.62
1.22855	500	339	1.61
1.22976	500	334	1.66
1.23097	500	339	1.61
1.23218	500	339	1.61
1.2334	500	339	1.61
1.23461	500	339	1.61
1.23582	500	339	1.61
1.23703	500	339	1.61
1.23824	500	339	1.61
1.23945	500	339	1.61
1.24066	500	339	1.61
1.24187	500	339	1.61
1.24308	500	339	1.61
1.2443	500	339	1.61
1.24551	500	340	1.6
1.24671	500	339	1.61
1.24792	500	339	1.61
1.24913	500	339	1.61
1.25034	500	336	1.64
1.25155	500	339	1.61
1.25277	500	339	1.61
1.25398	500	339	1.61
1.25519	500	338	1.62
1.2564	500	339	1.61
1.25762	500	339	1.61
1.25883	500	339	1.61
1.26004	500	336	1.64
1.26124	500	339	1.61
1.26246	500	339	1.61
1.26367	500	339	1.61
1.26488	500	339	1.61
1.26609	500	339	1.61
1.26734	500	339	1.61
1.26855	500	338	1.62
1.26976	500	341	1.59
1.27097	500	339	1.61
1.27218	500	339	1.61
1.27339	500	339	1.61
1.2746	500	339	1.61
1.27581	500	339	1.61
1.27702	500	340	1.6
1.27823	500	339	1.61
1.27944	500	339	1.61
1.28064	500	339	1.61
1.28185	500	339	1.61
1.28307	500	339	1.61
1.28433	500	339	1.61
1.28554	500	338	1.62
1.28675	500	339	1.61
1.28796	500	339	1.61
1.28917	500	339	1.61
1.29038	500	339	1.61
1.29158	500	339	1.61
1.2928	500	339	1.61
1.29402	500	339	1.61
1.29522	500	339	1.61
1.29643	500	339	1.61
1.29766	500	339	1.61
1.29886	500	339	1.61
1.30007	500	339	1.61
1.30128	500	339	1.61
1.3025	500	339	1.61
1.30371	500	339	1.61
1.30492	500	340	1.6
1.30613	500	338	1.62
1.30734	500	339	1.61
1.30854	500	339	1.61
1.30975	500	339	1.61
1.31096	500	339	1.61
1.31217	500	339	1.61
1.31338	500	339	1.61
1.31459	500	339	1.61
1.3158	500	339	1.61
1.31701	500	339	1.61
1.31822	500	339	1.61
1.31943	500	339	1.61
1.32064	500	339	1.61
1.32185	500	339	1.61
1.32306	500	337	1.63
1.32428	500	339	1.61
1.32548	500	339	1.61
1.32669	500	338	1.62
1.3279	500	339	1.61
1.32913	500	339	1.61
1.33034	500	337	1.63
1.33155	500	339	1.61
1.33277	500	339	1.61
1.33398	500	339	1.61
1.33519	500	338	1.62
1.3364	500	339	1.61
1.33762	500	339	1.61
1.33883	500	339	1.61
1.34004	500	340	1.6
1.34125	500	337	1.63
1.34246	500	339	1.61
1.34368	500	339	1.61
1.34489	500	339	1.61
1.34609	500	340	1.6
1.3473	500	339	1.61
1.34851	500	339	1.61
1.34972	500	340	1.6
1.35093	500	339	1.61
1.35213	500	339	1.61
1.35335	500	339	1.61
1.35456	500	339	1.61
1.35577	500	339	1.61
1.35698	500	338	1.62
1.35819	500	339	1.61
1.35939	500	338	1.62
1.36062	500	339	1.61
1.36182	500	339	1.61
1.36304	500	339	1.61
1.36425	500	339	1.61
1.36546	500	339	1.61
1.36667	500	339	1.61
1.36788	500	339	1.61
1.36909	500	339	1.61
1.3703	500	339	1.61
1.3715	500	339	1.61
1.37272	500	339	1.61
1.37393	500	339	1.61
1.37514	500	339	1.61
1.37635	500	338	1.62
1.37758	500	339	1.61
1.37879	500	339	1.61
1.37999	500	338	1.62
1.3812	500	339	1.61
1.38245	500	339	1.61
1.38366	500	339	1.61
1.38487	500	339	1.61
1.38608	500	338	1.62
1.38729	500	339	1.61
1.3885	500	339	1.61
1.38971	500	339	1.61
1.39092	500	339	1.61
1.39213	500	339	1.61
1.39334	500	339	1.61
1.39455	500	339	1.61
1.39576	500	340	1.6
1.39697	500	339	1.61
1.39818	500	339	1.61
1.39938	500	339	1.61
1.4006	500	339	1.61
1.40181	500	339	1.61
1.40303	500	339	1.61
1.40424	500	339	1.61
1.40545	500	339	1.61
1.40666	500	339	1.61
1.40787	500	339	1.61
1.40908	500	339	1.61
1.41029	500	337	1.63
1.41149	500	339	1.61
1.4127	500	339	1.61
1.41392	500	339	1.61
1.41513	500	339	1.61
1.41634	500	339	1.61
1.41756	500	339	1.61
1.41877	500	339	1.61
1.41998	500	339	1.61
1.42119	500	339	1.61
1.42244	500	339	1.61
1.42366	500	339	1.61
1.42487	500	339	1.61
1.42608	500	339	1.61
1.42728	500	339	1.61
1.42849	500	339	1.61
1.42972	500	339	1.61
1.43093	500	339	1.61
1.43214	500	339	1.61
1.43335	500	339	1.61
1.43457	500	339	1.61
1.43578	500	338	1.62
1.43699	500	339	1.61
1.43819	500	339	1.61
1.4394	500	339	1.61
1.44062	500	339	1.61
1.44183	500	339	1.61
1.44305	500	339	1.61
1.44426	500	339	1.61
1.44547	500	339	1.61
1.44668	500	339	1.61
1.44789	500	339	1.61
1.4491	500	339	1.61
1.45031	500	339	1.61
1.45151	500	339	1.61
1.45273	500	339	1.61
1.45394	500	339	1.61
1.45516	500	339	1.61
1.45637	500	339	1.61
1.45759	500	339	1.61
1.45881	500	339	1.61
1.46002	500	339	1.61
1.46123	500	339	1.61
1.46245	500	339	1.61
1.46367	500	339	1.61
1.46487	500	339	1.61
1.46608	500	336	1.64
1.46729	500	339	1.61
1.4685	500	339	1.61
1.46973	500	338	1.62
1.47099	500	339	1.61
1.4722	500	339	1.61
1.47342	500	339	1.61
1.47464	500	339	1.61
1.47586	500	345	1.55
1.47715	500	339	1.61
1.4784	500	337	1.63
1.47971	500	339	1.61
1.481	500	339	1.61
1.48235	500	339	1.61
1.48365	500	339	1.61
1.48496	500	339	1.61
1.48626	500	338	1.62
1.48753	500	339	1.61
1.48876	500	339	1.61
1.48997	500	339	1.61
1.4912	500	339	1.61
1.49248	500	339	1.61
1.49375	500	339	1.61
1.49498	500	339	1.61
1.49629	500	339	1.61
1.49773	500	338	1.62
1.49907	500	339	1.61
1.50036	500	339	1.61
1.50163	500	339	1.61
1.50296	500	339	1.61
1.50418	500	339	1.61
1.50539	500	339	1.61
1.50666	500	338	1.62
1.5079	500	336	1.64
1.50916	500	338	1.62
1.51041	500	339	1.61
1.51169	500	339	1.61
1.51291	500	339	1.61
1.51413	500	339	1.61
1.51534	500	339	1.61
1.51655	500	339	1.61
1.51776	500	339	1.61
1.51897	500	339	1.61
1.5202	500	340	1.6
1.52141	500	339	1.61
1.52264	500	339	1.61
1.52386	500	339	1.61
1.52507	500	339	1.61
1.52628	500	339	1.61
1.52749	500	339	1.61
1.5287	500	339	1.61
1.52994	500	339	1.61
1.53115	500	339	1.61
1.53236	500	339	1.61
1.53363	500	339	1.61
1.53484	500	339	1.61
1.53605	500	339	1.61
1.53726	500	339	1.61
1.5385	500	339	1.61
1.53978	500	337	1.63
1.54108	500	343	1.57
1.5423	500	339	1.61
1.54356	500	339	1.61
1.54478	500	339	1.61
1.54599	500	339	1.61
1.5472	500	339	1.61
1.54841	500	338	1.62
1.54963	500	339	1.61
1.5509	500	339	1.61
1.55212	500	339	1.61
1.55335	500	338	1.62
1.55465	500	339	1.61
1.55591	500	339	1.61
1.55712	500	337	1.63
1.55836	500	339	1.61
1.55963	500	339	1.61
1.56087	500	339	1.61
1.56209	500	339	1.61
1.5634	500	339	1.61
1.56474	500	339	1.61
1.566	500	339	1.61
1.56721	500	337	1.63
1.56842	500	340	1.6
1.56968	500	337	1.63
1.57101	500	339	1.61
1.57226	500	339	1.61
1.57349	500	339	1.61
1.57475	500	337	1.63
1.57608	500	340	1.6
1.57736	500	339	1.61
1.57861	500	339	1.61
1.57987	500	336	1.64
1.58117	500	339	1.61
1.58249	500	339	1.61
1.58377	500	339	1.61
1.58502	500	339	1.61
1.58624	500	337	1.63
1.58752	500	339	1.61
1.58878	500	339	1.61
1.59003	500	337	1.63
1.59125	500	339	1.61
1.59252	500	341	1.59
1.59386	500	339	1.61
1.59518	500	339	1.61
1.59643	500	338	1.62
1.59767	500	339	1.61
1.59895	500	339	1.61
1.60028	500	339	1.61
1.60154	500	340	1.6
1.60281	500	339	1.61
1.60404	500	339	1.61
1.60526	500	340	1.6
1.60651	500	338	1.62
1.60777	500	339	1.61
1.60901	500	339	1.61
1.61023	500	339	1.61
1.61144	500	339	1.61
1.61266	500	339	1.61
1.61388	500	339	1.61
1.61512	500	339	1.61
1.61633	500	339	1.61
1.6176	500	339	1.61
1.61883	500	339	1.61
1.62008	500	339	1.61
1.6213	500	339	1.61
1.62257	500	339	1.61
1.62384	500	339	1.61
1.62515	500	339	1.61
1.62636	500	336	1.64
1.62761	500	339	1.61
1.62883	500	339	1.61
1.63005	500	339	1.61
1.63129	500	339	1.61
1.63252	500	339	1.61
1.63376	500	339	1.61
1.63502	500	339	1.61
1.63625	500	339	1.61
1.63747	500	339	1.61
1.63871	500	339	1.61
1.63999	500	339	1.61
1.64122	500	339	1.61
1.64246	500	339	1.61
1.64368	500	339	1.61
1.64492	500	339	1.61
1.64618	500	338	1.62
1.64741	500	333	1.67
1.64864	500	339	1.61
1.64995	500	337	1.63
1.65128	500	339	1.61
1.65253	500	339	1.61
1.65376	500	341	1.59
1.6551	500	339	1.61
1.65637	500	339	1.61
1.65765	500	339	1.61
1.65886	500	339	1.61
1.66007	500	339	1.61
1.6613	500	339	1.61
1.66256	500	339	1.61
1.66385	500	339	1.61
1.66511	500	342	1.58
1.66636	500	339	1.61
1.6676	500	339	1.61
1.6689	500	339	1.61
1.67017	500	336	1.64
1.67142	500	339	1.61
1.67265	500	339	1.61
1.67395	500	339	1.61
1.67523	500	339	1.61
1.6765	500	339	1.61
1.67776	500	339	1.61
1.67897	500	339	1.61
1.68021	500	337	1.63
1.68147	500	339	1.61
1.68274	500	338	1.62
1.68401	500	339	1.61
1.68524	500	339	1.61
1.6865	500	339	1.61
1.68776	500	343	1.57
1.68901	500	339	1.61
1.69022	500	342	1.58
1.69143	500	339	1.61
1.69264	500	339	1.61
1.69386	500	339	1.61
1.69515	500	339	1.61
1.69641	500	337	1.63
1.69773	500	339	1.61
1.69894	500	339	1.61
1.70016	500	339	1.61
1.70137	500	341	1.59
1.7026	500	339	1.61
1.70382	500	339	1.61
1.70503	500	339	1.61
1.70627	500	338	1.62
1.70754	500	340	1.6
1.70881	500	339	1.61
1.71002	500	339	1.61
1.71123	500	339	1.61
1.71248	500	339	1.61
1.71373	500	339	1.61
1.71494	500	339	1.61
1.71615	500	339	1.61
1.71738	500	339	1.61
1.71861	500	337	1.63
1.71982	500	340	1.6
1.72103	500	338	1.62
1.72224	500	339	1.61
1.72345	500	339	1.61
1.72467	500	338	1.62
1.72588	500	338	1.62
1.72711	500	339	1.61
1.72832	500	339	1.61
1.72956	500	339	1.61
1.73081	500	339	1.61
1.73202	500	339	1.61
1.73325	500	339	1.61
1.73447	500	339	1.61
1.73568	500	339	1.61
1.73689	500	339	1.61
1.73811	500	339	1.61
1.73932	500	343	1.57
1.74055	500	338	1.62
1.74176	500	338	1.62
1.74297	500	339	1.61
1.74419	500	339	1.61
1.7454	500	339	1.61
1.74661	500	341	1.59
1.74782	500	338	1.62
1.74903	500	338	1.62
1.75029	500	338	1.62
1.7515	500	339	1.61
1.75271	500	339	1.61
1.75393	500	341	1.59
1.75514	500	339	1.61
1.75637	500	339	1.61
1.75758	500	338	1.62
1.75879	500	339	1.61
1.76	500	335	1.65
1.76121	500	339	1.61
1.76245	500	339	1.61
1.76367	500	339	1.61
1.76488	500	339	1.61
1.76609	500	338	1.62
1.76729	500	339	1.61
1.76851	500	339	1.61
1.76973	500	339	1.61
1.77094	500	339	1.61
1.77215	500	339	1.61
1.77336	500	339	1.61
1.77457	500	339	1.61
1.77578	500	339	1.61
1.77699	500	339	1.61
1.7782	500	339	1.61
1.77941	500	339	1.61
1.78064	500	339	1.61
1.78185	500	339	1.61
1.78306	500	339	1.61
1.78428	500	339	1.61
1.78549	500	337	1.63
1.7867	500	339	1.61
1.78791	500	339	1.61
1.78912	500	339	1.61
1.79032	500	342	1.58
1.79153	500	339	1.61
1.79274	500	339	1.61
1.79396	500	339	1.61
1.79517	500	339	1.61
1.79638	500	338	1.62
1.79759	500	339	1.61
1.7988	500	338	1.62
1.80001	500	339	1.61
1.80122	500	339	1.61
1.80244	500	339	1.61
1.80366	500	339	1.61
1.80487	500	339	1.61
1.80608	500	338	1.62
1.80728	500	339	1.61
1.8085	500	339	1.61
1.80973	500	339	1.61
1.81094	500	339	1.61
1.81215	500	339	1.61
1.81336	500	339	1.61
1.81457	500	339	1.61
1.81578	500	339	1.61
1.817	500	339	1.61
1.81823	500	339	1.61
1.81944	500	339	1.61
1.82065	500	339	1.61
1.82186	500	339	1.61
1.82307	500	339	1.61
1.82428	500	339	1.61
1.82549	500	339	1.61
1.8267	500	339	1.61
1.82791	500	339	1.61
1.82912	500	339	1.61
1.83033	500	339	1.61
1.83157	500	339	1.61
1.83278	500	339	1.61
1.834	500	339	1.61
1.83523	500	339	1.61
1.83644	500	339	1.61
1.83767	500	338	1.62
1.83887	500	334	1.66
1.84008	500	339	1.61
1.84129	500	339	1.61
1.84251	500	339	1.61
1.84372	500	339	1.61
1.84493	500	335	1.65
1.84614	500	339	1.61
1.84735	500	340	1.6
1.84856	500	339	1.61
1.84978	500	342	1.58
1.85099	500	339	1.61
1.8522	500	339	1.61
1.85341	500	339	1.61
1.85463	500	340	1.6
1.85584	500	339	1.61
1.85705	500	339	1.61
1.85826	500	339	1.61
1.85947	500	338	1.62
1.86068	500	339	1.61
1.86189	500	339	1.61
1.8631	500	341	1.59
1.86432	500	339	1.61
1.86553	500	337	1.63
1.86674	500	339	1.61
1.86795	500	339	1.61
1.86915	500	339	1.61
1.87036	500	339	1.61
1.87157	500	339	1.61
1.87278	500	339	1.61
1.874	500	339	1.61
1.87521	500	339	1.61
1.87642	500	339	1.61
1.87763	500	338	1.62
1.87883	500	339	1.61
1.88004	500	339	1.61
1.88125	500	337	1.63
1.88247	500	339	1.61
1.88369	500	339	1.61
1.8849	500	339	1.61
1.88611	500	339	1.61
1.88731	500	339	1.61
1.88852	500	339	1.61
1.88975	500	339	1.61
1.89095	500	339	1.61
1.89216	500	339	1.61
1.89338	500	339	1.61
1.89459	500	339	1.61
1.8958	500	339	1.61
1.89701	500	338	1.62
1.89822	500	335	1.65
1.89943	500	339	1.61
1.90064	500	339	1.61
1.90184	500	339	1.61
1.90306	500	339	1.61
1.90428	500	339	1.61
1.90549	500	340	1.6
1.90669	500	339	1.61
1.9079	500	338	1.62
1.90911	500	339	1.61
1.91032	500	339	1.61
1.91153	500	339	1.61
1.91274	500	339	1.61
1.91396	500	339	1.61
1.91517	500	339	1.61
