Time	Goal	In	Out
6.3021e-05	500	3	2.485
0.000456512	500	3	2.485
0.00060443	500	4	2.48
0.00073792	500	6	2.47
0.000870525	500	7	2.465
0.00100245	500	8	2.46
0.00113474	500	9	2.455
0.0012674	500	11	2.445
0.00139928	500	12	2.44
0.00153021	500	13	2.435
0.00166277	500	15	2.425
0.00179459	500	18	2.41
0.00192595	500	18	2.41
0.00205761	500	19	2.405
0.00218845	500	21	2.395
0.00231965	500	22	2.39
0.00245105	500	22	2.39
0.00258194	500	25	2.375
0.00271423	500	26	2.37
0.00284512	500	27	2.365
0.0029759	500	29	2.355
0.00310668	500	31	2.345
0.00323778	500	32	2.34
0.00336913	500	35	2.325
0.0034997	500	35	2.325
0.00363012	500	36	2.32
0.00382674	500	37	2.315
0.00396314	500	40	2.3
0.00409476	500	40	2.3
0.00422616	500	42	2.29
0.00435611	500	43	2.285
0.00448679	500	44	2.28
0.00461669	500	47	2.265
0.00474726	500	47	2.265
0.00487809	500	48	2.26
0.00500971	500	49	2.255
0.00514117	500	51	2.245
0.00527216	500	52	2.24
0.00540289	500	53	2.235
0.00553414	500	55	2.225
0.0056644	500	56	2.22
0.00579576	500	57	2.215
0.00592784	500	58	2.21
0.00605815	500	59	2.205
0.00618867	500	59	2.205
0.0063192	500	62	2.19
0.00645034	500	63	2.185
0.0065805	500	64	2.18
0.00671128	500	65	2.175
0.00684175	500	67	2.165
0.00697248	500	70	2.15
0.0071029	500	69	2.155
0.00723316	500	70	2.15
0.00736269	500	71	2.145
0.00749342	500	72	2.14
0.00762326	500	73	2.135
0.00775379	500	75	2.125
0.0078842	500	76	2.12
0.00803134	500	77	2.115
0.00817847	500	78	2.11
0.00831009	500	79	2.105
0.00844223	500	80	2.1
0.00857327	500	81	2.095
0.00870353	500	83	2.085
0.00883436	500	84	2.08
0.00896515	500	85	2.075
0.00909671	500	86	2.07
0.0092278	500	87	2.065
0.00935879	500	88	2.06
0.00948978	500	89	2.055
0.00962036	500	90	2.05
0.00975114	500	91	2.045
0.00988182	500	92	2.04
0.0100123	500	93	2.035
0.0101424	500	94	2.03
0.0102736	500	95	2.025
0.0104044	500	96	2.02
0.0105343	500	97	2.015
0.010664	500	98	2.01
0.0107937	500	99	2.005
0.0109246	500	100	2
0.0110545	500	101	1.995
0.0111855	500	102	1.99
0.011316	500	103	1.985
0.0114454	500	104	1.98
0.0115765	500	103	1.985
0.0117065	500	106	1.97
0.0118361	500	106	1.97
0.0119663	500	107	1.965
0.0120964	500	108	1.96
0.0122266	500	110	1.95
0.0123571	500	110	1.95
0.0124877	500	111	1.945
0.0126181	500	112	1.94
0.0127483	500	113	1.935
0.0128787	500	112	1.94
0.0130082	500	114	1.93
0.0131384	500	115	1.925
0.0132682	500	115	1.925
0.0133979	500	117	1.915
0.0135283	500	118	1.91
0.0136579	500	119	1.905
0.0139094	500	123	1.885
0.0140553	500	121	1.895
0.0141874	500	123	1.885
0.0143177	500	123	1.885
0.0144476	500	124	1.88
0.0145783	500	125	1.875
0.0147091	500	125	1.875
0.0148392	500	126	1.87
0.014969	500	127	1.865
0.015099	500	128	1.86
0.0152287	500	129	1.855
0.0153589	500	129	1.855
0.0154877	500	130	1.85
0.0156183	500	131	1.845
0.0157483	500	131	1.845
0.0158785	500	132	1.84
0.0160236	500	133	1.835
0.0161737	500	136	1.82
0.0163059	500	135	1.825
0.0164362	500	135	1.825
0.0165658	500	137	1.815
0.0166963	500	137	1.815
0.0168252	500	133	1.835
0.0170998	500	139	1.805
0.0172346	500	139	1.805
0.0173654	500	141	1.795
0.0174961	500	141	1.795
0.0176265	500	142	1.79
0.0177574	500	143	1.785
0.0178874	500	143	1.785
0.0180174	500	144	1.78
0.0181481	500	145	1.775
0.0182768	500	145	1.775
0.0184066	500	146	1.77
0.0185359	500	147	1.765
0.0186658	500	147	1.765
0.0187964	500	148	1.76
0.0189261	500	149	1.755
0.019056	500	149	1.755
0.0191855	500	150	1.75
0.0193155	500	151	1.745
0.0194459	500	151	1.745
0.0195767	500	152	1.74
0.0197075	500	153	1.735
0.0198368	500	153	1.735
0.0199663	500	154	1.73
0.0200968	500	154	1.73
0.0202269	500	155	1.725
0.0203572	500	156	1.72
0.0204874	500	156	1.72
0.0206183	500	157	1.715
0.0207486	500	158	1.71
0.0208791	500	158	1.71
0.0210098	500	159	1.705
0.02114	500	159	1.705
0.0212696	500	160	1.7
0.0214005	500	160	1.7
0.0215303	500	161	1.695
0.0216606	500	161	1.695
0.021791	500	163	1.685
0.021921	500	163	1.685
0.0220515	500	163	1.685
0.0221814	500	165	1.675
0.022311	500	165	1.675
0.0224415	500	165	1.675
0.022572	500	166	1.67
0.0227022	500	166	1.67
0.0228319	500	166	1.67
0.022961	500	167	1.665
0.0230917	500	169	1.655
0.0232225	500	168	1.66
0.0233526	500	169	1.655
0.0234828	500	171	1.645
0.0236557	500	171	1.645
0.0238147	500	171	1.645
0.0239704	500	171	1.645
0.0241184	500	172	1.64
0.0242509	500	173	1.635
0.0243819	500	173	1.635
0.0245116	500	174	1.63
0.0246413	500	174	1.63
0.0247708	500	175	1.625
0.0249004	500	175	1.625
0.0250301	500	176	1.62
0.0251605	500	176	1.62
0.02529	500	176	1.62
0.0254192	500	177	1.615
0.0255491	500	177	1.615
0.025679	500	177	1.615
0.0258083	500	178	1.61
0.0259379	500	178	1.61
0.0260674	500	179	1.605
0.0261971	500	179	1.605
0.0263282	500	180	1.6
0.0264579	500	180	1.6
0.0265874	500	181	1.595
0.0267168	500	179	1.605
0.0268469	500	182	1.59
0.0269764	500	182	1.59
0.0271065	500	180	1.6
0.0272363	500	183	1.585
0.0273671	500	184	1.58
0.0274968	500	184	1.58
0.0276264	500	185	1.575
