Time	Goal	In	Out
1.00062	500	2	4.98
1.00094	500	3	4.97
1.00112	500	6	4.94
1.00131	500	11	4.89
1.00149	500	15	4.85
1.00167	500	18	4.82
1.00185	500	22	4.78
1.00202	500	26	4.74
1.0022	500	30	4.7
1.00238	500	34	4.66
1.00256	500	38	4.62
1.00274	500	41	4.59
1.00292	500	47	4.53
1.00309	500	47	4.53
1.00327	500	52	4.48
1.00345	500	55	4.45
1.00363	500	60	4.4
1.00381	500	63	4.37
1.00399	500	68	4.32
1.00416	500	71	4.29
1.00434	500	74	4.26
1.00463	500	79	4.21
1.00481	500	83	4.17
1.00499	500	86	4.14
1.0052	500	89	4.11
1.00538	500	93	4.07
1.00558	500	96	4.04
1.00576	500	100	4
1.00594	500	103	3.97
1.00612	500	106	3.94
1.0063	500	109	3.91
1.00647	500	112	3.88
1.00665	500	115	3.85
1.00683	500	118	3.82
1.00701	500	120	3.8
1.00719	500	123	3.77
1.00736	500	126	3.74
1.00754	500	128	3.72
1.00772	500	131	3.69
1.0079	500	134	3.66
1.00808	500	136	3.64
1.00825	500	139	3.61
1.00843	500	142	3.58
1.00861	500	144	3.56
1.00879	500	147	3.53
1.00897	500	149	3.51
1.00914	500	151	3.49
1.00932	500	153	3.47
1.0095	500	156	3.44
1.00967	500	158	3.42
1.00985	500	160	3.4
1.01003	500	163	3.37
1.01021	500	165	3.35
1.01038	500	167	3.33
1.01056	500	169	3.31
1.01074	500	171	3.29
1.01092	500	173	3.27
1.0111	500	176	3.24
1.01127	500	177	3.23
1.01145	500	179	3.21
1.01163	500	182	3.18
1.01181	500	183	3.17
1.01198	500	185	3.15
1.01216	500	187	3.13
1.01234	500	189	3.11
1.01252	500	191	3.09
1.01269	500	193	3.07
1.01287	500	195	3.05
1.01307	500	197	3.03
1.01326	500	198	3.02
1.01344	500	197	3.03
1.01362	500	205	2.95
1.0138	500	204	2.96
1.01397	500	205	2.95
1.01415	500	207	2.93
1.01433	500	209	2.91
1.01453	500	211	2.89
1.01472	500	212	2.88
1.0149	500	214	2.86
1.01508	500	215	2.85
1.01525	500	217	2.83
1.01543	500	218	2.82
1.01561	500	220	2.8
1.01579	500	221	2.79
1.01596	500	223	2.77
1.01614	500	224	2.76
1.01632	500	226	2.74
1.0165	500	227	2.73
1.01668	500	228	2.72
1.01685	500	230	2.7
1.01703	500	231	2.69
1.01721	500	232	2.68
1.01739	500	234	2.66
1.01756	500	235	2.65
1.01774	500	236	2.64
1.01792	500	238	2.62
1.0181	500	239	2.61
1.01827	500	240	2.6
1.01845	500	241	2.59
1.01863	500	242	2.58
1.01881	500	243	2.57
1.01899	500	245	2.55
1.01916	500	246	2.54
1.01934	500	248	2.52
1.01952	500	248	2.52
1.0197	500	247	2.53
1.01988	500	249	2.51
1.02006	500	250	2.5
1.02023	500	253	2.47
1.02041	500	254	2.46
1.02059	500	254	2.46
1.02077	500	256	2.44
1.02094	500	259	2.41
1.02114	500	259	2.41
1.02133	500	259	2.41
1.02151	500	260	2.4
1.02168	500	260	2.4
1.02186	500	262	2.38
1.02204	500	263	2.37
1.02222	500	263	2.37
1.02239	500	264	2.36
1.02257	500	265	2.35
1.02275	500	266	2.34
1.02293	500	267	2.33
1.0231	500	268	2.32
1.02328	500	269	2.31
1.02346	500	270	2.3
1.02364	500	270	2.3
1.02382	500	271	2.29
1.02399	500	272	2.28
1.02417	500	273	2.27
1.02435	500	274	2.26
1.02456	500	275	2.25
1.02474	500	275	2.25
1.02492	500	276	2.24
1.0251	500	277	2.23
1.02528	500	278	2.22
1.02545	500	279	2.21
1.02563	500	279	2.21
1.02581	500	280	2.2
1.02599	500	281	2.19
1.02617	500	281	2.19
1.02634	500	282	2.18
1.02652	500	283	2.17
1.0267	500	283	2.17
1.02688	500	284	2.16
1.02705	500	285	2.15
1.02723	500	285	2.15
1.02741	500	286	2.14
1.02759	500	287	2.13
1.02776	500	287	2.13
1.02794	500	288	2.12
1.02812	500	289	2.11
1.0283	500	289	2.11
1.02847	500	290	2.1
1.02865	500	291	2.09
1.02883	500	291	2.09
1.02901	500	291	2.09
1.02922	500	292	2.08
1.0294	500	293	2.07
1.02957	500	293	2.07
1.02975	500	294	2.06
1.02993	500	294	2.06
1.03011	500	295	2.05
1.03028	500	295	2.05
1.03046	500	296	2.04
1.03064	500	296	2.04
1.03082	500	297	2.03
1.03099	500	298	2.02
1.03117	500	298	2.02
1.03135	500	299	2.01
1.03153	500	299	2.01
1.0317	500	299	2.01
1.03188	500	300	2
1.03206	500	300	2
1.03224	500	300	2
1.03242	500	301	1.99
1.0326	500	302	1.98
1.03277	500	302	1.98
1.03295	500	303	1.97
1.03313	500	302	1.98
1.0333	500	303	1.97
1.03348	500	303	1.97
1.03366	500	301	1.99
1.03384	500	304	1.96
1.03402	500	305	1.95
1.03419	500	305	1.95
1.03439	500	306	1.94
1.03458	500	306	1.94
1.03476	500	307	1.93
1.03493	500	307	1.93
1.03511	500	307	1.93
1.03529	500	308	1.92
1.03547	500	308	1.92
1.03565	500	308	1.92
1.03582	500	309	1.91
1.036	500	309	1.91
1.03618	500	309	1.91
1.03639	500	310	1.9
1.03657	500	310	1.9
1.03675	500	311	1.89
1.03692	500	311	1.89
1.03712	500	311	1.89
1.03731	500	312	1.88
1.03749	500	312	1.88
1.03767	500	312	1.88
1.03785	500	313	1.87
1.03802	500	313	1.87
1.0382	500	314	1.86
1.03838	500	314	1.86
1.03856	500	316	1.84
1.03873	500	315	1.85
1.03891	500	314	1.86
1.03909	500	313	1.87
1.03927	500	318	1.82
1.03945	500	316	1.84
1.03962	500	315	1.85
1.0398	500	316	1.84
1.03998	500	318	1.82
1.04016	500	317	1.83
1.04033	500	317	1.83
1.04051	500	317	1.83
1.04069	500	317	1.83
1.04087	500	317	1.83
1.04104	500	317	1.83
1.04122	500	318	1.82
1.0414	500	318	1.82
1.04158	500	318	1.82
1.04175	500	319	1.81
1.04193	500	319	1.81
1.04211	500	319	1.81
1.04229	500	319	1.81
1.04247	500	319	1.81
1.04264	500	320	1.8
1.04282	500	320	1.8
1.043	500	320	1.8
1.04318	500	320	1.8
1.04336	500	320	1.8
1.04353	500	321	1.79
1.04371	500	321	1.79
1.04389	500	321	1.79
1.04407	500	321	1.79
1.04424	500	322	1.78
1.04445	500	322	1.78
1.04463	500	322	1.78
1.04481	500	322	1.78
1.04499	500	322	1.78
1.0452	500	322	1.78
1.04538	500	323	1.77
1.04556	500	323	1.77
1.04573	500	323	1.77
1.04591	500	323	1.77
1.04609	500	324	1.76
1.04627	500	324	1.76
1.04645	500	324	1.76
1.04663	500	324	1.76
1.0468	500	324	1.76
1.04698	500	324	1.76
1.04716	500	324	1.76
1.04734	500	325	1.75
1.04752	500	325	1.75
1.0477	500	325	1.75
1.04787	500	325	1.75
1.04805	500	325	1.75
1.04823	500	326	1.74
1.04841	500	328	1.72
1.04859	500	325	1.75
1.04877	500	324	1.76
1.04894	500	327	1.73
1.04912	500	326	1.74
1.0493	500	327	1.73
1.04948	500	326	1.74
1.04966	500	328	1.72
1.04983	500	328	1.72
1.05001	500	326	1.74
1.05019	500	327	1.73
1.05037	500	327	1.73
1.05054	500	327	1.73
1.05072	500	328	1.72
1.0509	500	328	1.72
1.05108	500	327	1.73
1.05125	500	328	1.72
1.05143	500	328	1.72
1.05161	500	328	1.72
1.05179	500	328	1.72
1.05197	500	328	1.72
1.05214	500	329	1.71
1.05232	500	329	1.71
1.0525	500	329	1.71
1.05268	500	328	1.72
1.05286	500	329	1.71
1.05303	500	329	1.71
1.05324	500	329	1.71
1.05342	500	329	1.71
1.0536	500	329	1.71
1.05378	500	330	1.7
1.05395	500	330	1.7
1.05413	500	330	1.7
1.05431	500	330	1.7
1.05451	500	330	1.7
1.0547	500	330	1.7
1.05488	500	330	1.7
1.05505	500	330	1.7
1.05523	500	330	1.7
1.05541	500	330	1.7
1.05559	500	331	1.69
1.05577	500	331	1.69
1.05595	500	331	1.69
1.05612	500	331	1.69
1.0563	500	330	1.7
1.05648	500	331	1.69
1.05666	500	331	1.69
1.05683	500	329	1.71
1.05701	500	332	1.68
1.05719	500	332	1.68
1.05737	500	331	1.69
1.05755	500	329	1.71
1.05773	500	334	1.66
1.0579	500	332	1.68
1.05808	500	332	1.68
1.05826	500	330	1.7
1.05844	500	332	1.68
1.05862	500	332	1.68
1.05879	500	332	1.68
1.05897	500	332	1.68
1.05915	500	332	1.68
1.05933	500	332	1.68
1.05951	500	332	1.68
1.05968	500	332	1.68
1.05986	500	332	1.68
1.06004	500	332	1.68
1.06022	500	333	1.67
1.06039	500	333	1.67
1.06057	500	333	1.67
1.06075	500	333	1.67
1.06093	500	333	1.67
1.06112	500	335	1.65
1.06131	500	334	1.66
1.06149	500	333	1.67
1.06167	500	333	1.67
1.06185	500	333	1.67
1.06203	500	333	1.67
1.0622	500	333	1.67
1.06238	500	334	1.66
1.06256	500	333	1.67
1.06274	500	333	1.67
1.06292	500	334	1.66
1.0631	500	334	1.66
1.06327	500	334	1.66
1.06345	500	334	1.66
1.06363	500	334	1.66
1.06381	500	334	1.66
1.06398	500	334	1.66
1.06416	500	334	1.66
1.06434	500	334	1.66
1.06455	500	334	1.66
1.06473	500	334	1.66
1.06491	500	334	1.66
1.06508	500	334	1.66
1.06526	500	334	1.66
1.06544	500	334	1.66
1.06562	500	334	1.66
1.0658	500	334	1.66
1.06597	500	335	1.65
1.06615	500	334	1.66
1.06633	500	334	1.66
1.06651	500	335	1.65
1.06668	500	335	1.65
1.06686	500	335	1.65
1.06704	500	335	1.65
1.06722	500	335	1.65
1.06739	500	335	1.65
1.06757	500	335	1.65
1.06775	500	335	1.65
1.06793	500	335	1.65
1.06811	500	334	1.66
1.06828	500	335	1.65
1.06846	500	335	1.65
1.06864	500	335	1.65
1.06882	500	336	1.64
1.06899	500	336	1.64
1.0692	500	335	1.65
