Time	Goal	In	Out
6.0781e-05	500	2	14.94
0.000423751	500	2	14.94
0.000627502	500	2	14.94
0.000787086	500	2	14.94
0.000987763	500	3	14.91
0.00114823	500	3	14.91
0.00131	500	3	14.91
0.00146813	500	4	14.88
0.0016273	500	4	14.88
0.00178537	500	4	14.88
0.00194381	500	5	14.85
0.00210256	500	5	14.85
0.00226058	500	5	14.85
0.00241824	500	6	14.82
0.00257834	500	6	14.82
0.00273631	500	6	14.82
0.0028923	500	6	14.82
0.0030497	500	7	14.79
0.0032111	500	7	14.79
0.00337366	500	7	14.79
0.00353178	500	8	14.76
0.00368819	500	8	14.76
0.003846	500	8	14.76
0.00409366	500	9	14.73
0.00428923	500	9	14.73
0.00449731	500	10	14.7
0.00475454	500	11	14.67
0.00500324	500	11	14.67
0.00516283	500	11	14.67
0.0053221	500	12	14.64
0.00547793	500	12	14.64
0.0056334	500	12	14.64
0.00578903	500	12	14.64
0.00594366	500	12	14.64
0.00609898	500	13	14.61
0.00625444	500	13	14.61
0.0064132	500	13	14.61
0.00657137	500	14	14.58
0.00672929	500	14	14.58
0.00688705	500	15	14.55
0.0071107	500	15	14.55
0.00731289	500	16	14.52
0.00747721	500	16	14.52
0.00766867	500	16	14.52
0.00785284	500	16	14.52
0.00801909	500	17	14.49
0.00819841	500	17	14.49
0.00838044	500	18	14.46
0.00857586	500	18	14.46
0.00874008	500	19	14.43
0.00894247	500	19	14.43
0.00912378	500	19	14.43
0.009328	500	20	14.4
0.00956596	500	20	14.4
0.0097518	500	20	14.4
0.009978	500	21	14.37
0.0102686	500	22	14.34
0.0104783	500	23	14.31
0.0106864	500	23	14.31
0.0109531	500	23	14.31
0.0111678	500	24	14.28
0.0113532	500	24	14.28
0.0115543	500	24	14.28
0.0117431	500	25	14.25
0.0119237	500	25	14.25
0.0121048	500	26	14.22
0.0122713	500	26	14.22
0.0124506	500	27	14.19
0.012639	500	27	14.19
0.0128342	500	27	14.19
0.0130352	500	28	14.16
0.0132217	500	28	14.16
0.0134233	500	29	14.13
0.0136128	500	29	14.13
0.0138149	500	30	14.1
0.0139968	500	30	14.1
0.0141768	500	30	14.1
0.0143554	500	31	14.07
0.0145185	500	31	14.07
0.0146798	500	28	14.16
0.014857	500	32	14.04
0.0150593	500	32	14.04
0.0152249	500	34	13.98
0.0154258	500	33	14.01
0.0156071	500	33	14.01
0.0158101	500	34	13.98
0.0159914	500	34	13.98
0.0161736	500	35	13.95
0.0163556	500	36	13.92
0.0165373	500	35	13.95
0.0167017	500	35	13.95
0.01688	500	36	13.92
0.0171429	500	36	13.92
0.0173458	500	37	13.89
0.0176059	500	37	13.89
0.017881	500	38	13.86
0.0180517	500	38	13.86
0.0182079	500	39	13.83
0.0184397	500	39	13.83
0.0186631	500	40	13.8
0.0188531	500	40	13.8
0.0190105	500	40	13.8
0.0191656	500	40	13.8
0.0193203	500	41	13.77
0.019477	500	42	13.74
0.0196313	500	42	13.74
0.0197841	500	43	13.71
0.0199378	500	43	13.71
0.0200927	500	42	13.74
0.0202481	500	43	13.71
0.020405	500	44	13.68
0.020559	500	44	13.68
0.0207569	500	44	13.68
0.020913	500	45	13.65
0.0210681	500	45	13.65
0.0212246	500	45	13.65
0.0213799	500	46	13.62
0.0215372	500	46	13.62
0.0216911	500	46	13.62
0.0218449	500	47	13.59
0.0220031	500	47	13.59
0.0221571	500	47	13.59
0.0223108	500	48	13.56
0.0224682	500	48	13.56
0.0226262	500	48	13.56
0.022783	500	49	13.53
0.0229371	500	49	13.53
0.0230904	500	49	13.53
0.0232468	500	49	13.53
0.0234039	500	50	13.5
0.0235586	500	50	13.5
0.0237106	500	51	13.47
0.0238693	500	51	13.47
0.0240231	500	51	13.47
0.0241775	500	52	13.44
0.0243329	500	52	13.44
0.0244865	500	52	13.44
0.0246434	500	54	13.38
0.0247998	500	52	13.44
0.0249571	500	54	13.38
0.0251109	500	54	13.38
0.0252651	500	54	13.38
0.0254222	500	55	13.35
0.0255787	500	55	13.35
0.0257324	500	54	13.38
0.0258886	500	55	13.35
0.0260446	500	56	13.32
0.0262003	500	56	13.32
0.0263529	500	56	13.32
0.0265629	500	57	13.29
0.0267753	500	57	13.29
0.0271499	500	58	13.26
0.0274017	500	58	13.26
0.0275634	500	59	13.23
0.0277922	500	60	13.2
0.0280144	500	60	13.2
0.0282066	500	60	13.2
0.0283623	500	60	13.2
0.0285162	500	61	13.17
0.0286931	500	62	13.14
0.0288686	500	62	13.14
0.0290231	500	62	13.14
0.0291778	500	63	13.11
0.0293349	500	63	13.11
0.029489	500	63	13.11
0.0296424	500	64	13.08
0.0297977	500	64	13.08
0.0299498	500	64	13.08
0.0301025	500	64	13.08
0.030256	500	64	13.08
0.0304109	500	64	13.08
0.030564	500	65	13.05
0.0307169	500	65	13.05
0.0308711	500	66	13.02
0.0310272	500	66	13.02
0.0312196	500	67	12.99
0.0314476	500	67	12.99
0.031612	500	67	12.99
0.0318194	500	68	12.96
0.031975	500	68	12.96
0.0321306	500	68	12.96
0.0322847	500	69	12.93
0.0324381	500	69	12.93
0.0325919	500	70	12.9
0.0327457	500	70	12.9
0.032899	500	70	12.9
0.0330506	500	71	12.87
0.0332035	500	71	12.87
0.0333568	500	71	12.87
0.0335106	500	72	12.84
0.0336647	500	72	12.84
0.0338186	500	72	12.84
0.0339737	500	73	12.81
0.034132	500	73	12.81
0.0342858	500	73	12.81
0.0344391	500	74	12.78
0.0345934	500	73	12.81
0.0347486	500	75	12.75
0.0349037	500	75	12.75
0.0350572	500	75	12.75
0.0352098	500	76	12.72
0.0353636	500	76	12.72
0.0355171	500	76	12.72
0.0356708	500	76	12.72
0.0358274	500	77	12.69
0.0359839	500	76	12.72
0.0361387	500	75	12.75
0.0362904	500	78	12.66
0.0364455	500	78	12.66
0.0366416	500	78	12.66
0.0368165	500	79	12.63
0.0369719	500	79	12.63
0.0371675	500	79	12.63
0.0373257	500	79	12.63
0.0375425	500	80	12.6
0.037756	500	80	12.6
0.0379962	500	81	12.57
0.0383188	500	82	12.54
0.0386022	500	82	12.54
0.0388501	500	83	12.51
0.0390533	500	83	12.51
0.0392092	500	84	12.48
0.0393696	500	84	12.48
0.0395273	500	82	12.54
0.0396812	500	84	12.48
0.039834	500	85	12.45
0.0399882	500	85	12.45
0.0401474	500	87	12.39
0.0403046	500	86	12.42
0.0404588	500	86	12.42
0.0406126	500	86	12.42
0.0407667	500	87	12.39
0.0409213	500	87	12.39
0.0410797	500	88	12.36
0.0412379	500	88	12.36
0.0413923	500	88	12.36
0.0415505	500	88	12.36
0.0417092	500	89	12.33
0.0418685	500	89	12.33
0.0420247	500	89	12.33
0.0421818	500	90	12.3
0.0423388	500	90	12.3
0.0424926	500	90	12.3
0.0426463	500	91	12.27
0.0428044	500	91	12.27
0.0429627	500	91	12.27
0.0431182	500	92	12.24
0.0432744	500	92	12.24
0.04343	500	92	12.24
0.0435893	500	92	12.24
0.0437478	500	93	12.21
0.0439064	500	93	12.21
0.0440638	500	93	12.21
0.0442221	500	94	12.18
0.0443801	500	94	12.18
0.0445338	500	94	12.18
0.0447226	500	95	12.15
0.04488	500	95	12.15
0.0450365	500	96	12.12
0.045194	500	96	12.12
0.045352	500	96	12.12
0.0455114	500	96	12.12
0.0456693	500	97	12.09
0.0458285	500	97	12.09
0.0459863	500	98	12.06
0.0461402	500	98	12.06
0.046294	500	98	12.06
0.046452	500	99	12.03
0.0466098	500	99	12.03
0.0467676	500	99	12.03
0.0469254	500	100	12
0.0471139	500	100	12
0.0472772	500	100	12
0.047432	500	100	12
0.0475857	500	101	11.97
0.047745	500	101	11.97
0.0479033	500	101	11.97
0.0480612	500	100	12
0.0482152	500	102	11.94
0.0483736	500	102	11.94
0.0485298	500	102	11.94
0.0486993	500	104	11.88
0.0489394	500	103	11.91
0.0491513	500	104	11.88
0.049457	500	106	11.82
0.0497883	500	103	11.91
0.0500241	500	106	11.82
0.0501845	500	111	11.67
0.0503389	500	106	11.82
0.0504935	500	107	11.79
0.0506467	500	109	11.73
0.0508001	500	107	11.79
0.0509578	500	108	11.76
0.0511157	500	108	11.76
0.0512701	500	108	11.76
0.0514249	500	108	11.76
0.0515793	500	109	11.73
0.0517322	500	109	11.73
0.0518878	500	110	11.7
0.0520419	500	111	11.67
0.0522468	500	110	11.7
0.0524585	500	110	11.7
0.052737	500	111	11.67
0.0528956	500	112	11.64
0.0530507	500	112	11.64
0.053208	500	112	11.64
0.0533625	500	112	11.64
0.0535172	500	112	11.64
0.0536711	500	113	11.61
0.0538252	500	113	11.61
0.0539791	500	114	11.58
0.0541327	500	114	11.58
0.0542886	500	114	11.58
0.054441	500	115	11.55
0.0545951	500	114	11.58
0.0547491	500	115	11.55
0.0549032	500	115	11.55
0.0550571	500	115	11.55
0.0552102	500	116	11.52
0.0553639	500	117	11.49
0.0555169	500	117	11.49
0.0556692	500	117	11.49
0.055824	500	117	11.49
0.0559795	500	117	11.49
0.0561319	500	118	11.46
0.0562863	500	118	11.46
0.0564402	500	118	11.46
0.0565957	500	118	11.46
0.0567504	500	119	11.43
0.0569062	500	120	11.4
0.0570911	500	119	11.43
0.0572571	500	120	11.4
0.057412	500	120	11.4
0.0575684	500	120	11.4
0.0577238	500	121	11.37
0.057882	500	121	11.37
0.0580387	500	122	11.34
0.0581949	500	123	11.31
0.0583508	500	122	11.34
0.0585071	500	123	11.31
0.0586641	500	122	11.34
0.0588203	500	123	11.31
0.0589766	500	124	11.28
0.0591335	500	124	11.28
0.0592903	500	124	11.28
0.0594469	500	124	11.28
0.0596032	500	125	11.25
0.0597582	500	124	11.28
0.0599153	500	125	11.25
0.0600715	500	126	11.22
0.0602278	500	126	11.22
0.0603837	500	126	11.22
0.0605399	500	127	11.19
0.060722	500	127	11.19
0.0608824	500	127	11.19
0.061082	500	128	11.16
0.0612391	500	128	11.16
0.0613946	500	128	11.16
0.0615502	500	129	11.13
0.0617062	500	129	11.13
0.0618622	500	129	11.13
0.0620186	500	129	11.13
0.0621742	500	130	11.1
0.0623312	500	130	11.1
0.0624885	500	130	11.1
0.0626445	500	131	11.07
0.0628005	500	131	11.07
0.0629563	500	131	11.07
0.0631115	500	131	11.07
0.0632669	500	132	11.04
0.0634238	500	132	11.04
0.0635787	500	132	11.04
0.0637351	500	133	11.01
0.0638908	500	133	11.01
0.0640484	500	133	11.01
0.0642046	500	131	11.07
0.0643675	500	131	11.07
0.0646069	500	134	10.98
0.0647977	500	135	10.95
0.0651285	500	136	10.92
0.0654573	500	136	10.92
0.0656764	500	137	10.89
0.0659496	500	137	10.89
0.0662021	500	138	10.86
0.0663625	500	138	10.86
0.0665176	500	138	10.86
0.0666722	500	139	10.83
0.0668262	500	141	10.77
0.0670021	500	139	10.83
0.067169	500	141	10.77
0.0673822	500	140	10.8
0.067615	500	140	10.8
0.0677797	500	140	10.8
0.0679348	500	141	10.77
0.0680909	500	141	10.77
0.0682467	500	141	10.77
0.0684005	500	142	10.74
0.068557	500	142	10.74
0.068751	500	142	10.74
0.0689091	500	143	10.71
0.0690705	500	143	10.71
0.0693081	500	144	10.68
0.0694938	500	143	10.71
0.0696486	500	144	10.68
0.0698028	500	144	10.68
0.0699563	500	144	10.68
0.0701124	500	146	10.62
0.0702667	500	145	10.65
0.0704209	500	146	10.62
0.0705755	500	146	10.62
0.0707292	500	146	10.62
0.0708834	500	146	10.62
0.0710363	500	147	10.59
0.0711899	500	147	10.59
0.0713465	500	147	10.59
0.0715031	500	148	10.56
0.0716564	500	148	10.56
0.0718132	500	148	10.56
0.071967	500	148	10.56
0.0721226	500	149	10.53
0.0722767	500	149	10.53
0.0724329	500	149	10.53
0.0725872	500	150	10.5
0.0727388	500	150	10.5
0.0728935	500	150	10.5
0.0730446	500	151	10.47
0.0732004	500	151	10.47
0.0733533	500	151	10.47
0.0735108	500	152	10.44
0.0736648	500	152	10.44
0.0738191	500	152	10.44
0.0739757	500	153	10.41
0.0741326	500	153	10.41
0.0742867	500	153	10.41
0.07444	500	153	10.41
0.0745927	500	154	10.38
0.0747504	500	154	10.38
0.074907	500	154	10.38
0.0750629	500	154	10.38
0.0752167	500	155	10.35
0.0753721	500	157	10.29
0.075526	500	155	10.35
0.0756796	500	156	10.32
0.0758358	500	156	10.32
0.0759888	500	156	10.32
0.0761416	500	156	10.32
0.0762961	500	156	10.32
0.0764488	500	158	10.26
0.0766245	500	158	10.26
0.0767989	500	157	10.29
0.0769549	500	160	10.2
0.0771535	500	158	10.26
0.0773115	500	159	10.23
0.0774688	500	159	10.23
0.0776253	500	161	10.17
0.0777822	500	159	10.23
0.0779391	500	160	10.2
0.0780966	500	160	10.2
0.0782532	500	160	10.2
0.0784099	500	160	10.2
0.0785664	500	161	10.17
0.0787224	500	161	10.17
0.07888	500	162	10.14
0.0790355	500	162	10.14
0.0791911	500	162	10.14
0.0793463	500	163	10.11
0.0795031	500	163	10.11
0.0796589	500	163	10.11
0.0798146	500	163	10.11
0.0799708	500	164	10.08
0.080127	500	164	10.08
0.0802826	500	164	10.08
0.0804377	500	164	10.08
0.0805927	500	164	10.08
0.080749	500	165	10.05
0.080905	500	165	10.05
0.0810616	500	166	10.02
0.0812174	500	166	10.02
0.0813745	500	166	10.02
0.0815309	500	167	9.99
0.0816848	500	167	9.99
0.0818379	500	167	9.99
0.0819926	500	167	9.99
0.0821462	500	168	9.96
0.0823002	500	168	9.96
0.0824533	500	168	9.96
0.0826069	500	168	9.96
0.0827612	500	169	9.93
0.0829143	500	169	9.93
0.0830683	500	169	9.93
0.0832219	500	170	9.9
0.0833757	500	170	9.9
0.0835286	500	170	9.9
0.0836815	500	171	9.87
0.083835	500	171	9.87
0.0839885	500	171	9.87
0.0841416	500	171	9.87
0.0842954	500	172	9.84
0.0844486	500	172	9.84
0.084617	500	172	9.84
0.0847846	500	172	9.84
0.0849391	500	173	9.81
0.0850924	500	173	9.81
0.0852463	500	174	9.78
0.0854015	500	174	9.78
0.0855544	500	174	9.78
0.0857081	500	173	9.81
0.0858613	500	175	9.75
0.0860146	500	175	9.75
0.0861679	500	175	9.75
0.0863208	500	176	9.72
0.0864748	500	179	9.63
0.0866296	500	176	9.72
0.0867824	500	177	9.69
0.0869347	500	177	9.69
0.0871154	500	177	9.69
0.0872746	500	177	9.69
0.0874258	500	177	9.69
0.087576	500	179	9.63
0.087762	500	178	9.66
0.0879703	500	178	9.66
0.0882917	500	179	9.63
0.0885155	500	180	9.6
0.0886891	500	180	9.6
0.0888435	500	179	9.63
0.088996	500	181	9.57
0.0892138	500	181	9.57
0.0894593	500	184	9.48
0.0897098	500	182	9.54
0.0899553	500	182	9.54
0.0901525	500	184	9.48
0.0903049	500	184	9.48
0.0904576	500	183	9.51
0.0906121	500	183	9.51
0.0907672	500	183	9.51
0.0909187	500	184	9.48
0.09107	500	184	9.48
0.0912201	500	184	9.48
0.0913723	500	185	9.45
0.0915224	500	185	9.45
0.0916728	500	185	9.45
0.0918243	500	185	9.45
0.0919748	500	185	9.45
0.0921263	500	186	9.42
0.0922813	500	186	9.42
0.0924359	500	186	9.42
0.0926024	500	187	9.39
0.0927756	500	187	9.39
0.0929321	500	187	9.39
0.0930834	500	188	9.36
0.0932382	500	188	9.36
0.093393	500	188	9.36
0.0935432	500	190	9.3
0.0936937	500	187	9.39
0.0938441	500	189	9.33
0.0939965	500	189	9.33
0.0941473	500	189	9.33
0.0942981	500	190	9.3
0.0944481	500	191	9.27
0.0946036	500	190	9.3
0.0947584	500	192	9.24
0.0948755	500	191	9.27
0.0949554	500	191	9.27
0.0950322	500	192	9.24
0.0951093	500	190	9.3
0.095209	500	192	9.24
0.0952863	500	192	9.24
0.095363	500	193	9.21
0.0954422	500	192	9.24
0.0955211	500	192	9.24
0.0955989	500	192	9.24
0.0956757	500	193	9.21
0.0957527	500	192	9.24
0.0958293	500	192	9.24
0.0959059	500	192	9.24
0.0959831	500	193	9.21
0.0960625	500	192	9.24
0.0961415	500	194	9.18
0.0962183	500	193	9.21
0.0962952	500	194	9.18
0.0963738	500	194	9.18
0.096452	500	194	9.18
0.096529	500	194	9.18
0.0966082	500	193	9.21
0.0966872	500	194	9.18
0.096764	500	194	9.18
0.0968407	500	194	9.18
0.0969174	500	194	9.18
0.097017	500	195	9.15
0.0971024	500	196	9.12
0.0971813	500	195	9.15
0.0972601	500	195	9.15
0.0973384	500	195	9.15
0.0974175	500	195	9.15
0.0974956	500	195	9.15
0.0975739	500	195	9.15
0.0976521	500	196	9.12
0.0977307	500	196	9.12
0.0978089	500	196	9.12
0.0978876	500	196	9.12
0.0979656	500	196	9.12
0.0980442	500	196	9.12
0.0981224	500	192	9.24
0.098201	500	197	9.09
0.0982794	500	197	9.09
0.0983581	500	197	9.09
0.0984359	500	196	9.12
0.0985143	500	197	9.09
0.0985924	500	197	9.09
0.0986708	500	195	9.15
0.098749	500	198	9.06
0.0988277	500	199	9.03
0.0989413	500	194	9.18
0.0990448	500	198	9.06
0.0992033	500	199	9.03
0.099312	500	201	8.97
0.0994226	500	199	9.03
0.0995173	500	199	9.03
0.0995958	500	195	9.15
0.0996727	500	199	9.03
0.0997498	500	201	8.97
0.0998604	500	200	9
0.0999735	500	200	9
0.100052	500	200	9
0.100131	500	200	9
0.10021	500	200	9
0.100287	500	201	8.97
0.100365	500	201	8.97
0.100444	500	201	8.97
0.100521	500	201	8.97
0.100612	500	201	8.97
0.100691	500	201	8.97
0.100779	500	202	8.94
0.100857	500	201	8.97
0.100936	500	202	8.94
0.101014	500	202	8.94
0.101091	500	202	8.94
0.10117	500	202	8.94
0.101248	500	202	8.94
0.101327	500	202	8.94
0.101405	500	203	8.91
0.101481	500	203	8.91
0.10156	500	203	8.91
0.101638	500	203	8.91
0.101716	500	203	8.91
0.101794	500	203	8.91
0.101871	500	203	8.91
0.101949	500	204	8.88
0.102027	500	204	8.88
0.102104	500	204	8.88
0.102181	500	204	8.88
0.102258	500	204	8.88
0.102336	500	204	8.88
0.102413	500	204	8.88
0.102491	500	204	8.88
0.10257	500	204	8.88
0.102648	500	204	8.88
0.102727	500	205	8.85
0.102805	500	205	8.85
0.102882	500	205	8.85
0.10296	500	205	8.85
0.103038	500	205	8.85
