Time	Goal	In	Out
8.875e-05	100	1	0.99
0.000465365	100	1	0.99
0.000659012	100	2	0.98
0.000846876	100	3	0.97
0.00103797	100	3	0.97
0.00122485	100	4	0.96
0.00141167	100	5	0.95
0.00159797	100	6	0.94
0.00178355	100	6	0.94
0.00196881	100	7	0.93
0.00215625	100	8	0.92
0.00234131	100	8	0.92
0.00252678	100	9	0.91
0.00271152	100	10	0.9
0.00289641	100	10	0.9
0.00308235	100	11	0.89
0.0032687	100	12	0.88
0.00345464	100	12	0.88
0.00364032	100	13	0.87
0.00382449	100	15	0.85
0.00400907	100	15	0.85
0.00419647	100	15	0.85
0.00438204	100	16	0.84
0.00456756	100	17	0.83
0.00475241	100	18	0.82
0.0049374	100	18	0.82
0.00512277	100	18	0.82
0.00530923	100	19	0.81
0.00549433	100	20	0.8
0.00567829	100	21	0.79
0.00586288	100	21	0.79
0.00604704	100	21	0.79
0.00623142	100	22	0.78
0.00641741	100	23	0.77
0.0066021	100	24	0.76
0.00678678	100	24	0.76
0.00697059	100	25	0.75
0.00715486	100	25	0.75
0.00734007	100	25	0.75
0.00752574	100	26	0.74
0.00771158	100	27	0.73
0.0078971	100	27	0.73
0.00815163	100	30	0.7
0.00834814	100	28	0.72
0.00853559	100	29	0.71
0.00872028	100	30	0.7
0.00890512	100	31	0.69
0.00908929	100	31	0.69
0.00927413	100	31	0.69
0.00945846	100	32	0.68
0.00964502	100	32	0.68
0.00983127	100	32	0.68
0.0100164	100	33	0.67
0.0102014	100	33	0.67
0.0103847	100	34	0.66
0.0105692	100	34	0.66
0.0107561	100	35	0.65
0.0109403	100	35	0.65
0.0111253	100	35	0.65
0.0113106	100	36	0.64
0.0114939	100	36	0.64
0.011679	100	37	0.63
0.0118637	100	37	0.63
0.0120474	100	38	0.62
0.0122323	100	38	0.62
0.0124162	100	38	0.62
0.0126008	100	39	0.61
0.0127867	100	39	0.61
0.0129718	100	39	0.61
0.0131556	100	40	0.6
0.0133396	100	40	0.6
0.0135234	100	41	0.59
0.0137083	100	41	0.59
0.0138939	100	41	0.59
0.0140789	100	43	0.57
0.0142638	100	42	0.58
0.0144477	100	42	0.58
0.0146315	100	43	0.57
0.0148151	100	43	0.57
0.0150007	100	43	0.57
0.0151855	100	44	0.56
0.0153704	100	44	0.56
0.0155539	100	45	0.55
0.0157375	100	45	0.55
0.0159212	100	45	0.55
0.0161066	100	44	0.56
0.0162909	100	46	0.54
0.0164754	100	46	0.54
0.016659	100	46	0.54
0.0168425	100	46	0.54
0.017028	100	47	0.53
0.0172131	100	47	0.53
0.017397	100	47	0.53
0.017582	100	48	0.52
0.0177648	100	48	0.52
0.0179493	100	48	0.52
0.0181545	100	49	0.51
0.0183469	100	49	0.51
0.018531	100	48	0.52
0.0187151	100	50	0.5
0.0188997	100	50	0.5
0.0190851	100	50	0.5
0.0192719	100	48	0.52
0.0194566	100	50	0.5
0.0196412	100	50	0.5
0.0198256	100	50	0.5
0.0200096	100	50	0.5
0.0201947	100	51	0.49
0.0203805	100	51	0.49
0.0205642	100	51	0.49
0.0207487	100	52	0.48
0.0209329	100	52	0.48
0.0211186	100	53	0.47
0.0213051	100	52	0.48
0.0214928	100	52	0.48
0.0216788	100	53	0.47
0.0218636	100	53	0.47
0.0220512	100	53	0.47
0.0222364	100	53	0.47
0.0224232	100	53	0.47
0.0226067	100	54	0.46
0.0227908	100	54	0.46
0.0229751	100	54	0.46
0.0231596	100	54	0.46
0.0233444	100	54	0.46
0.0235313	100	55	0.45
0.0237151	100	55	0.45
0.0238998	100	55	0.45
0.0240837	100	56	0.44
0.0242675	100	55	0.45
0.0244512	100	55	0.45
0.0246375	100	56	0.44
0.024824	100	56	0.44
0.0250091	100	56	0.44
0.025195	100	56	0.44
0.0253783	100	55	0.45
0.025562	100	57	0.43
